Date,Close,Close_Sma30,Close_Sma252
2000-09-18,3653.5,,
2000-09-19,3804.0,,
2000-09-20,3853.0,,
2000-09-21,3765.0,,
2000-09-22,3776.0,,
2000-09-25,3675.0,,
2000-09-26,3611.5,,
2000-09-27,3645.0,,
2000-09-28,3758.0,,
2000-09-29,3621.0,,
2000-10-02,3528.5,,
2000-10-03,3397.0,,
2000-10-04,3477.5,,
2000-10-05,3482.5,,
2000-10-06,3357.5,,
2000-10-09,3349.5,,
2000-10-10,3160.0,,
2000-10-11,3124.5,,
2000-10-12,3046.5,,
2000-10-13,3270.5,,
2000-10-16,3316.0,,
2000-10-17,3170.0,,
2000-10-18,3155.0,,
2000-10-19,3447.0,,
2000-10-20,3499.5,,
2000-10-23,3471.0,,
2000-10-24,3342.5,,
2000-10-25,3151.5,,
2000-10-26,3227.5,,
2000-10-27,3222.5,3445.2833333333333,
2000-10-30,3107.5,3427.0833333333335,
2000-10-31,3298.0,3410.2166666666667,
2000-11-01,3267.5,3390.7,
2000-11-02,3316.5,3375.75,
2000-11-03,3353.0,3361.65,
2000-11-06,3331.0,3350.1833333333334,
2000-11-07,3314.0,3340.266666666667,
2000-11-08,3061.0,3320.8,
2000-11-09,3058.0,3297.4666666666667,
2000-11-10,2893.0,3273.2,
2000-11-13,2829.0,3249.883333333333,
2000-11-14,3057.5,3238.5666666666666,
2000-11-15,3116.5,3226.5333333333333,
2000-11-16,2939.0,3208.4166666666665,
2000-11-17,2939.5,3194.483333333333,
2000-11-20,2816.0,3176.7,
2000-11-21,2807.5,3164.95,
2000-11-22,2682.5,3150.2166666666667,
2000-11-24,2829.0,3142.9666666666667,
2000-11-27,2796.5,3127.1666666666665,
2000-11-28,2637.5,3104.55,
2000-11-29,2530.0,3083.2166666666667,
2000-11-30,2530.0,3062.383333333333,
2000-12-01,2572.5,3033.233333333333,
2000-12-04,2557.5,3001.8333333333335,
2000-12-05,2840.0,2980.8,
2000-12-06,2737.5,2960.633333333333,
2000-12-07,2669.0,2944.55,
2000-12-08,2740.5,2928.3166666666666,
2000-12-11,2984.5,2920.383333333333,
2000-12-12,2867.5,2912.383333333333,
2000-12-13,2744.0,2893.9166666666665,
2000-12-14,2624.0,2872.4666666666667,
2000-12-15,2583.280029296875,2848.0260009765625,
2000-12-18,2608.5,2823.209334309896,
2000-12-19,2410.0,2792.5093343098956,
2000-12-20,2269.0,2757.6760009765626,
2000-12-21,2282.5,2731.7260009765623,
2000-12-22,2469.0,2712.092667643229,
2000-12-26,2477.5,2698.242667643229,
2000-12-27,2506.5,2687.492667643229,
2000-12-28,2501.5,2668.959334309896,
2000-12-29,2374.5,2644.2260009765623,
2001-01-02,2167.5,2618.5093343098956,
2001-01-03,2529.5,2604.842667643229,
2001-01-04,2486.0,2593.842667643229,
2001-01-05,2293.5,2576.709334309896,
2001-01-08,2325.0,2564.7926676432294,
2001-01-09,2326.0,2548.0260009765625,
2001-01-10,2441.0,2536.1760009765626,
2001-01-11,2512.5,2532.0093343098956,
2001-01-12,2540.0,2532.342667643229,
2001-01-16,2515.5,2531.859334309896,
2001-01-17,2581.5,2532.1593343098957,
2001-01-18,2694.5,2536.7260009765623,
2001-01-19,2686.5,2531.609334309896,
2001-01-22,2683.0,2529.7926676432294,
2001-01-23,2745.0,2532.3260009765627,
2001-01-24,2714.5,2531.459334309896,
2001-01-25,2613.5,2519.092667643229,
2001-01-26,2645.5,2511.692667643229,
2001-01-29,2705.5,2510.4093343098957,
2001-01-30,2697.5,2512.859334309896,
2001-01-31,2611.0,2513.7833333333333,
2001-02-01,2627.5,2514.4166666666665,
2001-02-02,2488.5,2517.0333333333333,
2001-02-05,2481.0,2524.1,
2001-02-06,2490.0,2531.016666666667,
2001-02-07,2443.5,2530.1666666666665,
2001-02-08,2368.0,2526.516666666667,
2001-02-09,2277.0,2518.866666666667,
2001-02-12,2301.5,2512.2,
2001-02-13,2226.0,2507.25,
2001-02-14,2316.0,2512.2,
2001-02-15,2356.0,2506.4166666666665,
2001-02-16,2227.5,2497.8,
2001-02-20,2130.0,2492.35,
2001-02-21,2070.5,2483.866666666667,
2001-02-22,2051.5,2474.7166666666667,
2001-02-23,2056.5,2461.9,
2001-02-26,2100.0,2448.15,
2001-02-27,1969.0,2429.116666666667,
2001-02-28,1913.0,2409.0333333333333,
2001-03-01,1960.0,2388.3166666666666,
2001-03-02,1876.5,2361.05,
2001-03-05,1912.0,2335.233333333333,
2001-03-06,1985.5,2311.983333333333,
2001-03-07,1988.5,2286.766666666667,
2001-03-08,1946.0,2261.15,
2001-03-09,1811.0,2234.4,
2001-03-12,1691.0,2202.5833333333335,
